x,y,g,obs,alt,chosen,a1,a2,a3,x1,x2,x3,a1_x1,a1_x2,a1_x3,a2_x1,a2_x2,a2_x3,a3_x1,a3_x2,a3_x3,IN1_indic
1,2,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,1,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,2,2,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,3,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,4,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,5,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,6,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,2,7,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,7,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,7,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,8,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,8,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,8,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,3,2,9,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,9,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,9,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,10,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,10,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,10,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,11,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,11,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,11,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,12,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,12,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,12,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,3,2,13,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,3,2,13,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,2,13,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,3,2,14,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,2,14,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,3,2,14,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,2,15,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,15,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,15,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,16,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,16,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,16,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,2,17,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,17,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,17,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,18,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,18,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,18,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,2,19,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,19,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,19,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,20,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,20,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,20,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,21,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,21,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,21,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,22,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,22,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,22,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,2,2,23,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,23,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,23,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3,2,2,24,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,24,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,24,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,2,2,25,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,25,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,25,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,2,26,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,26,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,26,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,27,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,27,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,27,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,2,28,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,28,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,28,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,3,2,29,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,2,29,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,3,2,29,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
